"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP"
"Compound_0001",31457729.9533333,23646077.8466667,0.411813662127314,0.00891405426962833,0.418491389921499,1.76399360245433
"Compound_0002",30833451.1933333,20710566.17,0.574129386161807,0.0318289871333687,0.633902346439173,1.63210915987912
"Compound_0003",5540163.52966667,4601818.304,0.267724539100959,0.564340490160147,0.813927720736935,0.58481943164238
"Compound_0004",4147982.973,5615017.12133333,-0.436880449640589,0.195793766802741,0.72126815721051,1.26373512428886
"Compound_0005",18100592.8456667,14100329.2933333,0.360308095301391,0.596910181508268,0.830645681599649,0.559279987671992
"Compound_0006",37949361.95,52409116.42,-0.465742156847873,0.158081462391682,0.72126815721051,1.2568662204
"Compound_0007",6421964.96866667,5015725.072,0.356556523734267,0.0808893373191444,0.72126815721051,1.46332836703909
"Compound_0008",806157386.633333,647274698.6,0.316683413253999,0.461702715231389,0.769110966483451,0.71100571998018
"Compound_0009",7921343.63866667,14730328.9183333,-0.894972575327906,0.354441946174444,0.758182772152527,0.971902717985647
"Compound_0010",20333250.8533333,29218004.5933333,-0.52301676466886,0.455798944731643,0.76779059051518,0.812571028969861
"Compound_0011",83546496.4066667,105643408.89,-0.338551526070078,0.249047939764876,0.736708481343335,1.12768525635152
"Compound_0012",79708638.7833333,123566687.746667,-0.63248186416834,0.106221834696997,0.72126815721051,1.35999897882735
"Compound_0013",2032146.1653,1784422.57066667,0.187546872356163,0.794912930721593,0.881918326123957,0.269950130895092
"Compound_0014",3229609.08766667,3919639.89833333,-0.279361566956168,0.727868930361127,0.858155570716088,0.427525566456807
"Compound_0015",4506523.23066667,3754195.26166667,0.26351113867386,0.460412079027593,0.769077854855081,0.737372767330342
"Compound_0016",21007454.5433333,17777175.3866667,0.240875249653508,0.126896369500834,0.72126815721051,1.30716775751244
"Compound_0017",19151738.4366667,20949071.5333333,-0.12941095079782,0.525205628519436,0.797406643106983,0.651700297420467
"Compound_0018",4042879.475,4429233.33833333,-0.131673807360738,0.722097717892274,0.85586019594069,0.438391016007234
"Compound_0019",13309220.68,17046160.2266667,-0.357020701277209,0.491118092720302,0.785174192056388,0.778462408868476
"Compound_0020",19965544.43,27267601.2233333,-0.449675376925414,0.47850754867744,0.781737606996843,0.774990884735248
"Compound_0021",11815329.6736667,12304274.562,-0.0584997173507699,0.880975694567586,0.934399904345169,0.153238166057091
"Compound_0022",50204007.57,56733288.68,-0.176392962768841,0.61448812497076,0.837655413503454,0.515427188721964
"Compound_0023",60841473.2233333,48211234.93,0.335685702272908,0.37214185669104,0.758559735042564,0.849851279260253
"Compound_0024",8030888.844,7093460.684,0.179070025110727,0.0240641363641611,0.617745919534452,1.74299633371999
