"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP"
"Compound_0001",31457729.9533333,23646077.8466667,0.411813662127314,0.00891405426962833,0.418491389921499,1.76399360245433
"Compound_0002",30833451.1933333,20710566.17,0.574129386161807,0.0318289871333687,0.633902346439173,1.63210915987912
"Compound_0024",8030888.844,7093460.684,0.179070025110727,0.0240641363641611,0.617745919534452,1.74299633371999
"Compound_0039",52231976.5533333,33463366.0866667,0.642350725299469,0.018129715138225,0.617745919534452,1.75288457815742
"Compound_0045",67400401.1566667,90857245.3333333,-0.430844387400734,0.00245121364341132,0.392202897597337,1.82194371738793
"Compound_0047",20965178.1533333,16463082.1933333,0.348760629428,0.0314426484253973,0.633902346439173,1.6492041815017
"Compound_0049",27507473.64,20310873.4066667,0.437571365131818,0.0322776452465501,0.633902346439173,1.64895339379262
"Compound_0076",13763053.24,8121661.09733333,0.760953825155997,0.042896475153609,0.70858621920406,1.68092897321783
"Compound_0123",8487150.187,5353649.35966667,0.66475755540473,0.000171454096699093,0.0764685271277956,1.86111617883701
"Compound_0141",24856873.8766667,74378146.4833333,-1.58123392884144,7.82447625764922e-05,0.0697943282182311,1.8737987828509
"Compound_0150",200642781.066667,181944161.866667,0.141133490833685,0.0365049336502663,0.678383350334116,1.58089559707896
"Compound_0151",5120791232.66667,4373640789.66667,0.227532008025393,0.00553682746347342,0.398516587920103,1.77416228956771
"Compound_0160",12314210.4566667,8075618.20833333,0.60867951935033,0.0484961084174366,0.720975478472557,1.53975596519694
"Compound_0171",352554196.233333,314110504.333333,0.16657286248344,0.024325503211835,0.617745919534452,1.75640735487738
"Compound_0196",88183743.95,73287522.9366667,0.266945126518086,0.0314068529500522,0.633902346439173,1.74283541177259
"Compound_0214",577379639.833333,493718518.866667,0.225831474564512,0.00625474465345453,0.398516587920103,1.79973516674169
"Compound_0219",4517157.41933333,2492935.59266667,0.857569581494031,0.0326900313186121,0.633902346439173,1.60736548883851
"Compound_0271",32123551.7733333,21972623.4566667,0.54792428178927,0.0173764981970027,0.617745919534452,1.6809206644067
"Compound_0287",3166468.89466667,2296841.838,0.463223392145342,0.0479917634643985,0.720975478472557,1.55514040271969
"Compound_0288",2475924.927,1280212.844,0.951583883054098,0.00555727541754033,0.398516587920103,1.79298035756487
"Compound_0293",6843322.095,13051169.9633333,-0.93141038453166,0.0423586414947752,0.70858621920406,1.70520755929069
"Compound_0304",8837785.811,6880107.05266667,0.361253953885892,0.0213918994823185,0.617745919534452,1.72448560729995
"Compound_0317",4905203.90933333,1925760.30066667,1.34888496838314,0.0088050215921545,0.418491389921499,1.73773832837967
"Compound_0332",2609436.87266667,2093326.102,0.317941426135705,0.0460716575126587,0.720975478472557,1.55284658575244
